aspect,worker,time,rating
you being able to spend enough time with the ones you love,AW37480049185,1502410965519,63
you being able to support your family financially,AW37480049185,1502410965638,55
you feeling that your work has value,AW37480049185,1502410965753,61
you not feeling anxious,AW37480049185,1502410965860,45
your emotional stability,AW37480049185,1502410965939,62
your health,AW37480049185,1502410966051,65
your knowledge skills and access to information,AW37480049185,1502410966144,68
your mental health,AW37480049185,1502410966239,61
your physical fitness,AW37480049185,1502410966352,53
your physical safety and security,AW37480049185,1502410966454,66
your sense of connection with other people,AW37480049185,1502410966514,54
how happy you feel,AW36692557032,1493629534208,39
how much you like your home house or apartment,AW36692557032,1493629534275,44
how satisfied you are with your life,AW36692557032,1493629534381,27
the extent to which you feel the things you do in your life are worthwhile,AW36692557032,1493629534488,41
the quality of your sleep,AW36692557032,1493629534583,46
you being a good moral person and living according to your personal values,AW36692557032,1493629534655,67
you being able to spend enough time with the ones you love,AW36692557032,1493629534738,53
you being able to support your family financially,AW36692557032,1493629534832,16
you feeling that your work has value,AW36692557032,1493629534920,39
you not feeling anxious,AW36692557032,1493629534998,44
your emotional stability,AW36692557032,1493629535103,47
your health,AW36692557032,1493629535194,50
your knowledge skills and access to information,AW36692557032,1493629535271,64
your mental health,AW36692557032,1493629535337,59
your physical fitness,AW36692557032,1493629535423,36
your physical safety and security,AW36692557032,1493629535536,54
your sense of connection with other people,AW36692557032,1493629535625,33
how happy you feel,AW32945620344,1483403952128,64
how much you like your home house or apartment,AW32945620344,1483403952188,70
how satisfied you are with your life,AW32945620344,1483403952255,65
the extent to which you feel the things you do in your life are worthwhile,AW32945620344,1483403952335,63
the quality of your sleep,AW32945620344,1483403952406,65
you being a good moral person and living according to your personal values,AW32945620344,1483403952482,76
you being able to spend enough time with the ones you love,AW32945620344,1483403952592,68
you being able to support your family financially,AW32945620344,1483403952670,51
you feeling that your work has value,AW32945620344,1483403952783,59
you not feeling anxious,AW32945620344,1483403952876,53
your emotional stability,AW32945620344,1483403952940,69
your health,AW32945620344,1483403953039,69
your knowledge skills and access to information,AW32945620344,1483403953114,74
your mental health,AW32945620344,1483403953214,69
your physical fitness,AW32945620344,1483403953280,50
your physical safety and security,AW32945620344,1483403953361,73
your sense of connection with other people,AW32945620344,1483403953467,58
how happy you feel,AW35019700126,1482447519744,64
how much you like your home house or apartment,AW35019700126,1482447519816,63
how satisfied you are with your life,AW35019700126,1482447519911,69
the extent to which you feel the things you do in your life are worthwhile,AW35019700126,1482447519997,68
the quality of your sleep,AW35019700126,1482447520076,55
you being a good moral person and living according to your personal values,AW35019700126,1482447520184,70
you being able to spend enough time with the ones you love,AW35019700126,1482447520251,60
you being able to support your family financially,AW35019700126,1482447520335,52
you feeling that your work has value,AW35019700126,1482447520441,59
you not feeling anxious,AW35019700126,1482447520559,51
your emotional stability,AW35019700126,1482447520633,66
your health,AW35019700126,1482447520740,64
your knowledge skills and access to information,AW35019700126,1482447520859,73
your mental health,AW35019700126,1482447520960,65
your physical fitness,AW35019700126,1482447521072,56
your physical safety and security,AW35019700126,1482447521138,69
your sense of connection with other people,AW35019700126,1482447521207,53
how happy you feel,AW1924917902,1495959601152,59
how much you like your home house or apartment,AW1924917902,1495959601223,63
how satisfied you are with your life,AW1924917902,1495959601311,55
the extent to which you feel the things you do in your life are worthwhile,AW1924917902,1495959601377,59
the quality of your sleep,AW1924917902,1495959601484,62
you being a good moral person and living according to your personal values,AW1924917902,1495959601545,73
you being able to spend enough time with the ones you love,AW1924917902,1495959601663,62
you being able to support your family financially,AW1924917902,1495959601728,53
you feeling that your work has value,AW1924917902,1495959601838,58
you not feeling anxious,AW1924917902,1495959601918,53
your emotional stability,AW1924917902,1495959602004,64
your health,AW1924917902,1495959602071,60
your knowledge skills and access to information,AW1924917902,1495959602152,71
your mental health,AW1924917902,1495959602249,67
your physical fitness,AW1924917902,1495959602322,53
your physical safety and security,AW1924917902,1495959602435,67
your sense of connection with other people,AW1924917902,1495959602528,54
how happy you feel,AW62559026780,1483167760384,56
how much you like your home house or apartment,AW62559026780,1483167760474,59
how satisfied you are with your life,AW62559026780,1483167760545,59
the extent to which you feel the things you do in your life are worthwhile,AW62559026780,1483167760612,57
the quality of your sleep,AW62559026780,1483167760723,51
you being a good moral person and living according to your personal values,AW62559026780,1483167760831,68
you being able to spend enough time with the ones you love,AW62559026780,1483167760943,56
you being able to support your family financially,AW62559026780,1483167761037,50
you feeling that your work has value,AW62559026780,1483167761140,55
you not feeling anxious,AW62559026780,1483167761245,39
your emotional stability,AW62559026780,1483167761309,60
your health,AW62559026780,1483167761407,68
your knowledge skills and access to information,AW62559026780,1483167761495,64
your mental health,AW62559026780,1483167761599,58
your physical fitness,AW62559026780,1483167761679,49
your physical safety and security,AW62559026780,1483167761741,62
your sense of connection with other people,AW62559026780,1483167761842,48
how happy you feel,AW28801131020,1495743070208,74
how much you like your home house or apartment,AW28801131020,1495743070308,70
how satisfied you are with your life,AW28801131020,1495743070406,87
the extent to which you feel the things you do in your life are worthwhile,AW28801131020,1495743070496,72
the quality of your sleep,AW28801131020,1495743070593,67
you being a good moral person and living according to your personal values,AW28801131020,1495743070668,69
you being able to spend enough time with the ones you love,AW28801131020,1495743070771,71
you being able to support your family financially,AW28801131020,1495743070856,78
you feeling that your work has value,AW28801131020,1495743070930,66
you not feeling anxious,AW28801131020,1495743071010,49
your emotional stability,AW28801131020,1495743071082,64
your health,AW28801131020,1495743071164,76
your knowledge skills and access to information,AW28801131020,1495743071237,71
your mental health,AW28801131020,1495743071301,67
your physical fitness,AW28801131020,1495743071377,64
your physical safety and security,AW28801131020,1495743071482,72
your sense of connection with other people,AW28801131020,1495743071548,63
how happy you feel,AW65410386322,1495610687488,28
how much you like your home house or apartment,AW65410386322,1495610687589,28
how satisfied you are with your life,AW65410386322,1495610687687,21
the extent to which you feel the things you do in your life are worthwhile,AW65410386322,1495610687774,27
the quality of your sleep,AW65410386322,1495610687839,36
you being a good moral person and living according to your personal values,AW65410386322,1495610687900,56
you being able to spend enough time with the ones you love,AW65410386322,1495610688017,37
you being able to support your family financially,AW65410386322,1495610688136,11
you feeling that your work has value,AW65410386322,1495610688240,26
you not feeling anxious,AW65410386322,1495610688311,25
your emotional stability,AW65410386322,1495610688389,36
your health,AW65410386322,1495610688497,40
your knowledge skills and access to information,AW65410386322,1495610688609,59
your mental health,AW65410386322,1495610688671,48
your physical fitness,AW65410386322,1495610688787,24
your physical safety and security,AW65410386322,1495610688871,49
your sense of connection with other people,AW65410386322,1495610688956,30
how happy you feel,AW52087379362,1493481160704,74
how much you like your home house or apartment,AW52087379362,1493481160777,76
how satisfied you are with your life,AW52087379362,1493481160891,76
the extent to which you feel the things you do in your life are worthwhile,AW52087379362,1493481161011,80
the quality of your sleep,AW52087379362,1493481161106,68
you being a good moral person and living according to your personal values,AW52087379362,1493481161168,80
you being able to spend enough time with the ones you love,AW52087379362,1493481161237,78
you being able to support your family financially,AW52087379362,1493481161345,71
you feeling that your work has value,AW52087379362,1493481161415,74
you not feeling anxious,AW52087379362,1493481161534,66
your emotional stability,AW52087379362,1493481161630,73
your health,AW52087379362,1493481161702,76
your knowledge skills and access to information,AW52087379362,1493481161789,78
your mental health,AW52087379362,1493481161849,79
your physical fitness,AW52087379362,1493481161961,61
your physical safety and security,AW52087379362,1493481162053,76
your sense of connection with other people,AW52087379362,1493481162128,70
how happy you feel,AW8675345822,1495755390976,56
how much you like your home house or apartment,AW8675345822,1495755391040,59
how satisfied you are with your life,AW8675345822,1495755391133,54
the extent to which you feel the things you do in your life are worthwhile,AW8675345822,1495755391234,58
the quality of your sleep,AW8675345822,1495755391332,64
you being a good moral person and living according to your personal values,AW8675345822,1495755391426,77
you being able to spend enough time with the ones you love,AW8675345822,1495755391542,73
you being able to support your family financially,AW8675345822,1495755391662,45
you feeling that your work has value,AW8675345822,1495755391770,56
you not feeling anxious,AW8675345822,1495755391880,57
your emotional stability,AW8675345822,1495755391964,65
your health,AW8675345822,1495755392038,67
your knowledge skills and access to information,AW8675345822,1495755392137,75
your mental health,AW8675345822,1495755392237,72
your physical fitness,AW8675345822,1495755392319,52
your physical safety and security,AW8675345822,1495755392385,70
your sense of connection with other people,AW8675345822,1495755392448,49
how happy you feel,AW17784884498,1499764097024,59
how much you like your home house or apartment,AW17784884498,1499764097090,63
how satisfied you are with your life,AW17784884498,1499764097177,58
the extent to which you feel the things you do in your life are worthwhile,AW17784884498,1499764097262,62
the quality of your sleep,AW17784884498,1499764097351,61
you being a good moral person and living according to your personal values,AW17784884498,1499764097452,69
you being able to spend enough time with the ones you love,AW17784884498,1499764097569,64
you being able to support your family financially,AW17784884498,1499764097683,47
you feeling that your work has value,AW17784884498,1499764097773,56
you not feeling anxious,AW17784884498,1499764097846,51
your emotional stability,AW17784884498,1499764097951,63
your health,AW17784884498,1499764098028,58
your knowledge skills and access to information,AW17784884498,1499764098092,74
your mental health,AW17784884498,1499764098153,62
your physical fitness,AW17784884498,1499764098249,53
your physical safety and security,AW17784884498,1499764098317,67
your sense of connection with other people,AW17784884498,1499764098379,54
how happy you feel,AW38852357042,1482539270144,58
how much you like your home house or apartment,AW38852357042,1482539270225,54
how satisfied you are with your life,AW38852357042,1482539270316,54
the extent to which you feel the things you do in your life are worthwhile,AW38852357042,1482539270429,57
the quality of your sleep,AW38852357042,1482539270545,56
you being a good moral person and living according to your personal values,AW38852357042,1482539270655,69
you being able to spend enough time with the ones you love,AW38852357042,1482539270726,61
you being able to support your family financially,AW38852357042,1482539270789,47
you feeling that your work has value,AW38852357042,1482539270861,53
you not feeling anxious,AW38852357042,1482539270959,47
your emotional stability,AW38852357042,1482539271051,59
your health,AW38852357042,1482539271171,61
your knowledge skills and access to information,AW38852357042,1482539271249,68
your mental health,AW38852357042,1482539271354,63
your physical fitness,AW38852357042,1482539271471,45
your physical safety and security,AW38852357042,1482539271540,65
your sense of connection with other people,AW38852357042,1482539271619,47
how happy you feel,AW25781502277,1500059140096,27
how much you like your home house or apartment,AW25781502277,1500059140173,20
how satisfied you are with your life,AW25781502277,1500059140239,23
the extent to which you feel the things you do in your life are worthwhile,AW25781502277,1500059140336,28
the quality of your sleep,AW25781502277,1500059140445,20
you being a good moral person and living according to your personal values,AW25781502277,1500059140507,51
you being able to spend enough time with the ones you love,AW25781502277,1500059140597,28
you being able to support your family financially,AW25781502277,1500059140668,11
you feeling that your work has value,AW25781502277,1500059140731,25
you not feeling anxious,AW25781502277,1500059140850,14
your emotional stability,AW25781502277,1500059140965,25
your health,AW25781502277,1500059141085,34
your knowledge skills and access to information,AW25781502277,1500059141202,49
your mental health,AW25781502277,1500059141305,34
your physical fitness,AW25781502277,1500059141384,21
your physical safety and security,AW25781502277,1500059141472,40
your sense of connection with other people,AW25781502277,1500059141570,18
how happy you feel,AW50347653396,1495654072320,48
how much you like your home house or apartment,AW50347653396,1495654072436,52
how satisfied you are with your life,AW50347653396,1495654072556,48
the extent to which you feel the things you do in your life are worthwhile,AW50347653396,1495654072640,52
the quality of your sleep,AW50347653396,1495654072731,56
you being a good moral person and living according to your personal values,AW50347653396,1495654072818,67
you being able to spend enough time with the ones you love,AW50347653396,1495654072904,57
you being able to support your family financially,AW50347653396,1495654072979,41
you feeling that your work has value,AW50347653396,1495654073082,51
you not feeling anxious,AW50347653396,1495654073195,43
your emotional stability,AW50347653396,1495654073295,62
your health,AW50347653396,1495654073357,57
your knowledge skills and access to information,AW50347653396,1495654073422,65
your mental health,AW50347653396,1495654073527,56
your physical fitness,AW50347653396,1495654073603,51
your physical safety and security,AW50347653396,1495654073683,63
your sense of connection with other people,AW50347653396,1495654073743,47
how happy you feel,AW52044760140,1502222483456,100
how much you like your home house or apartment,AW52044760140,1502222483554,100
how satisfied you are with your life,AW52044760140,1502222483662,100
the extent to which you feel the things you do in your life are worthwhile,AW52044760140,1502222483768,100
the quality of your sleep,AW52044760140,1502222483853,100
you being a good moral person and living according to your personal values,AW52044760140,1502222483930,100
you being able to spend enough time with the ones you love,AW52044760140,1502222484042,100
you being able to support your family financially,AW52044760140,1502222484138,100
you feeling that your work has value,AW52044760140,1502222484208,100
you not feeling anxious,AW52044760140,1502222484296,100
your emotional stability,AW52044760140,1502222484379,100
your health,AW52044760140,1502222484497,100
your knowledge skills and access to information,AW52044760140,1502222484591,100
your mental health,AW52044760140,1502222484658,100
your physical fitness,AW52044760140,1502222484720,100
your physical safety and security,AW52044760140,1502222484804,100
your sense of connection with other people,AW52044760140,1502222484891,100
how happy you feel,AW16949097763,1493279440896,56
how much you like your home house or apartment,AW16949097763,1493279441006,59
how satisfied you are with your life,AW16949097763,1493279441072,48
the extent to which you feel the things you do in your life are worthwhile,AW16949097763,1493279441146,55
the quality of your sleep,AW16949097763,1493279441245,62
you being a good moral person and living according to your personal values,AW16949097763,1493279441365,73
you being able to spend enough time with the ones you love,AW16949097763,1493279441461,66
you being able to support your family financially,AW16949097763,1493279441570,39
you feeling that your work has value,AW16949097763,1493279441659,48
you not feeling anxious,AW16949097763,1493279441738,52
your emotional stability,AW16949097763,1493279441853,59
your health,AW16949097763,1493279441941,61
your knowledge skills and access to information,AW16949097763,1493279442002,73
your mental health,AW16949097763,1493279442116,72
your physical fitness,AW16949097763,1493279442224,50
your physical safety and security,AW16949097763,1493279442301,68
your sense of connection with other people,AW16949097763,1493279442418,57
how happy you feel,AW51661323838,1483287298048,79
how much you like your home house or apartment,AW51661323838,1483287298151,74
how satisfied you are with your life,AW51661323838,1483287298270,66
the extent to which you feel the things you do in your life are worthwhile,AW51661323838,1483287298377,75
the quality of your sleep,AW51661323838,1483287298462,81
you being a good moral person and living according to your personal values,AW51661323838,1483287298574,87
you being able to spend enough time with the ones you love,AW51661323838,1483287298661,85
you being able to support your family financially,AW51661323838,1483287298742,53
you feeling that your work has value,AW51661323838,1483287298822,74
you not feeling anxious,AW51661323838,1483287298900,76
your emotional stability,AW51661323838,1483287299008,75
your health,AW51661323838,1483287299092,77
your knowledge skills and access to information,AW51661323838,1483287299183,86
your mental health,AW51661323838,1483287299280,90
your physical fitness,AW51661323838,1483287299369,65
your physical safety and security,AW51661323838,1483287299465,81
your sense of connection with other people,AW51661323838,1483287299544,69
how happy you feel,AW49493276587,1483221368832,67
how much you like your home house or apartment,AW49493276587,1483221368918,64
how satisfied you are with your life,AW49493276587,1483221368998,67
the extent to which you feel the things you do in your life are worthwhile,AW49493276587,1483221369069,68
the quality of your sleep,AW49493276587,1483221369166,66
you being a good moral person and living according to your personal values,AW49493276587,1483221369226,82
you being able to spend enough time with the ones you love,AW49493276587,1483221369343,76
you being able to support your family financially,AW49493276587,1483221369411,55
you feeling that your work has value,AW49493276587,1483221369519,69
you not feeling anxious,AW49493276587,1483221369585,58
your emotional stability,AW49493276587,1483221369662,69
your health,AW49493276587,1483221369765,73
your knowledge skills and access to information,AW49493276587,1483221369878,79
your mental health,AW49493276587,1483221369943,71
your physical fitness,AW49493276587,1483221370053,61
your physical safety and security,AW49493276587,1483221370129,75
your sense of connection with other people,AW49493276587,1483221370204,62
how happy you feel,AW19143395790,1481857171456,5
how much you like your home house or apartment,AW19143395790,1481857171533,5
how satisfied you are with your life,AW19143395790,1481857171641,10
the extent to which you feel the things you do in your life are worthwhile,AW19143395790,1481857171734,12
the quality of your sleep,AW19143395790,1481857171825,1
you being a good moral person and living according to your personal values,AW19143395790,1481857171908,26
you being able to spend enough time with the ones you love,AW19143395790,1481857171968,1
you being able to support your family financially,AW19143395790,1481857172073,6
you feeling that your work has value,AW19143395790,1481857172143,8
you not feeling anxious,AW19143395790,1481857172227,0
your emotional stability,AW19143395790,1481857172298,14
your health,AW19143395790,1481857172366,13
your knowledge skills and access to information,AW19143395790,1481857172444,32
your mental health,AW19143395790,1481857172510,2
your physical fitness,AW19143395790,1481857172629,8
your physical safety and security,AW19143395790,1481857172704,25
your sense of connection with other people,AW19143395790,1481857172822,0
how happy you feel,AW13228891173,1492748599296,65
how much you like your home house or apartment,AW13228891173,1492748599414,73
how satisfied you are with your life,AW13228891173,1492748599502,77
the extent to which you feel the things you do in your life are worthwhile,AW13228891173,1492748599573,68
the quality of your sleep,AW13228891173,1492748599662,57
you being a good moral person and living according to your personal values,AW13228891173,1492748599725,68
you being able to spend enough time with the ones you love,AW13228891173,1492748599792,61
you being able to support your family financially,AW13228891173,1492748599912,79
you feeling that your work has value,AW13228891173,1492748599999,68
you not feeling anxious,AW13228891173,1492748600098,46
your emotional stability,AW13228891173,1492748600171,61
your health,AW13228891173,1492748600267,73
your knowledge skills and access to information,AW13228891173,1492748600328,73
your mental health,AW13228891173,1492748600412,62
your physical fitness,AW13228891173,1492748600510,58
your physical safety and security,AW13228891173,1492748600588,68
your sense of connection with other people,AW13228891173,1492748600694,68
how happy you feel,AW46083849318,1502212128768,68
how much you like your home house or apartment,AW46083849318,1502212128880,70
how satisfied you are with your life,AW46083849318,1502212128964,66
the extent to which you feel the things you do in your life are worthwhile,AW46083849318,1502212129081,66
the quality of your sleep,AW46083849318,1502212129178,59
you being a good moral person and living according to your personal values,AW46083849318,1502212129258,71
you being able to spend enough time with the ones you love,AW46083849318,1502212129322,59
you being able to support your family financially,AW46083849318,1502212129400,64
you feeling that your work has value,AW46083849318,1502212129482,60
you not feeling anxious,AW46083849318,1502212129551,48
your emotional stability,AW46083849318,1502212129665,64
your health,AW46083849318,1502212129764,67
your knowledge skills and access to information,AW46083849318,1502212129849,71
your mental health,AW46083849318,1502212129954,55
your physical fitness,AW46083849318,1502212130044,56
your physical safety and security,AW46083849318,1502212130150,66
your sense of connection with other people,AW46083849318,1502212130246,55
how happy you feel,AW32132165422,1499747975168,69
how much you like your home house or apartment,AW32132165422,1499747975243,66
how satisfied you are with your life,AW32132165422,1499747975311,70
the extent to which you feel the things you do in your life are worthwhile,AW32132165422,1499747975374,62
the quality of your sleep,AW32132165422,1499747975436,58
you being a good moral person and living according to your personal values,AW32132165422,1499747975532,70
you being able to spend enough time with the ones you love,AW32132165422,1499747975640,55
you being able to support your family financially,AW32132165422,1499747975734,63
you feeling that your work has value,AW32132165422,1499747975807,64
you not feeling anxious,AW32132165422,1499747975922,45
your emotional stability,AW32132165422,1499747976022,63
your health,AW32132165422,1499747976139,64
your knowledge skills and access to information,AW32132165422,1499747976215,69
your mental health,AW32132165422,1499747976282,64
your physical fitness,AW32132165422,1499747976353,53
your physical safety and security,AW32132165422,1499747976460,68
your sense of connection with other people,AW32132165422,1499747976542,51
how happy you feel,AW3938155568,1502388944896,50
how much you like your home house or apartment,AW3938155568,1502388945002,51
how satisfied you are with your life,AW3938155568,1502388945081,37
the extent to which you feel the things you do in your life are worthwhile,AW3938155568,1502388945174,53
the quality of your sleep,AW3938155568,1502388945239,46
you being a good moral person and living according to your personal values,AW3938155568,1502388945316,62
you being able to spend enough time with the ones you love,AW3938155568,1502388945434,52
you being able to support your family financially,AW3938155568,1502388945494,45
you feeling that your work has value,AW3938155568,1502388945581,48
you not feeling anxious,AW3938155568,1502388945655,35
your emotional stability,AW3938155568,1502388945721,47
your health,AW3938155568,1502388945832,54
your knowledge skills and access to information,AW3938155568,1502388945940,58
your mental health,AW3938155568,1502388946029,55
your physical fitness,AW3938155568,1502388946090,42
your physical safety and security,AW3938155568,1502388946162,60
your sense of connection with other people,AW3938155568,1502388946274,43
how happy you feel,AW62399141894,1483207213056,64
how much you like your home house or apartment,AW62399141894,1483207213149,59
how satisfied you are with your life,AW62399141894,1483207213209,59
the extent to which you feel the things you do in your life are worthwhile,AW62399141894,1483207213318,65
the quality of your sleep,AW62399141894,1483207213413,62
you being a good moral person and living according to your personal values,AW62399141894,1483207213510,76
you being able to spend enough time with the ones you love,AW62399141894,1483207213584,70
you being able to support your family financially,AW62399141894,1483207213667,56
you feeling that your work has value,AW62399141894,1483207213756,64
you not feeling anxious,AW62399141894,1483207213832,55
your emotional stability,AW62399141894,1483207213952,67
your health,AW62399141894,1483207214027,67
your knowledge skills and access to information,AW62399141894,1483207214127,73
your mental health,AW62399141894,1483207214215,76
your physical fitness,AW62399141894,1483207214314,54
your physical safety and security,AW62399141894,1483207214433,74
your sense of connection with other people,AW62399141894,1483207214529,56
how happy you feel,AW32457765874,1493271314432,100
how much you like your home house or apartment,AW32457765874,1493271314552,95
how satisfied you are with your life,AW32457765874,1493271314670,98
the extent to which you feel the things you do in your life are worthwhile,AW32457765874,1493271314777,95
the quality of your sleep,AW32457765874,1493271314870,93
you being a good moral person and living according to your personal values,AW32457765874,1493271314940,100
you being able to spend enough time with the ones you love,AW32457765874,1493271315021,100
you being able to support your family financially,AW32457765874,1493271315086,87
you feeling that your work has value,AW32457765874,1493271315163,95
you not feeling anxious,AW32457765874,1493271315275,92
your emotional stability,AW32457765874,1493271315380,95
your health,AW32457765874,1493271315499,97
your knowledge skills and access to information,AW32457765874,1493271315599,94
your mental health,AW32457765874,1493271315712,100
your physical fitness,AW32457765874,1493271315791,85
your physical safety and security,AW32457765874,1493271315887,100
your sense of connection with other people,AW32457765874,1493271315951,93
how happy you feel,AW2747905599,1502169137152,57
how much you like your home house or apartment,AW2747905599,1502169137227,56
how satisfied you are with your life,AW2747905599,1502169137296,61
the extent to which you feel the things you do in your life are worthwhile,AW2747905599,1502169137409,61
the quality of your sleep,AW2747905599,1502169137514,49
you being a good moral person and living according to your personal values,AW2747905599,1502169137597,65
you being able to spend enough time with the ones you love,AW2747905599,1502169137706,61
you being able to support your family financially,AW2747905599,1502169137772,47
you feeling that your work has value,AW2747905599,1502169137866,55
you not feeling anxious,AW2747905599,1502169137937,37
your emotional stability,AW2747905599,1502169138049,55
your health,AW2747905599,1502169138166,62
your knowledge skills and access to information,AW2747905599,1502169138277,67
your mental health,AW2747905599,1502169138353,64
your physical fitness,AW2747905599,1502169138439,49
your physical safety and security,AW2747905599,1502169138526,66
your sense of connection with other people,AW2747905599,1502169138629,42
how happy you feel,AW645421547,1502464966656,83
how much you like your home house or apartment,AW645421547,1502464966732,83
how satisfied you are with your life,AW645421547,1502464966833,80
the extent to which you feel the things you do in your life are worthwhile,AW645421547,1502464966928,86
the quality of your sleep,AW645421547,1502464967009,84
you being a good moral person and living according to your personal values,AW645421547,1502464967087,95
you being able to spend enough time with the ones you love,AW645421547,1502464967180,89
you being able to support your family financially,AW645421547,1502464967259,70
you feeling that your work has value,AW645421547,1502464967355,81
you not feeling anxious,AW645421547,1502464967453,83
your emotional stability,AW645421547,1502464967556,84
your health,AW645421547,1502464967640,82
your knowledge skills and access to information,AW645421547,1502464967732,93
your mental health,AW645421547,1502464967849,100
your physical fitness,AW645421547,1502464967922,74
your physical safety and security,AW645421547,1502464968019,87
your sense of connection with other people,AW645421547,1502464968091,76
how happy you feel,AW38547077446,1502402969600,57
how much you like your home house or apartment,AW38547077446,1502402969687,60
how satisfied you are with your life,AW38547077446,1502402969793,61
the extent to which you feel the things you do in your life are worthwhile,AW38547077446,1502402969883,60
the quality of your sleep,AW38547077446,1502402969999,58
you being a good moral person and living according to your personal values,AW38547077446,1502402970094,64
you being able to spend enough time with the ones you love,AW38547077446,1502402970155,59
you being able to support your family financially,AW38547077446,1502402970259,54
you feeling that your work has value,AW38547077446,1502402970369,58
you not feeling anxious,AW38547077446,1502402970481,31
your emotional stability,AW38547077446,1502402970581,60
your health,AW38547077446,1502402970649,61
your knowledge skills and access to information,AW38547077446,1502402970751,60
your mental health,AW38547077446,1502402970815,62
your physical fitness,AW38547077446,1502402970899,46
your physical safety and security,AW38547077446,1502402970976,67
your sense of connection with other people,AW38547077446,1502402971096,48
how happy you feel,AW8113232748,1502345166848,20
how much you like your home house or apartment,AW8113232748,1502345166916,19
how satisfied you are with your life,AW8113232748,1502345167030,23
the extent to which you feel the things you do in your life are worthwhile,AW8113232748,1502345167111,28
the quality of your sleep,AW8113232748,1502345167191,21
you being a good moral person and living according to your personal values,AW8113232748,1502345167288,43
you being able to spend enough time with the ones you love,AW8113232748,1502345167378,23
you being able to support your family financially,AW8113232748,1502345167452,17
you feeling that your work has value,AW8113232748,1502345167554,19
you not feeling anxious,AW8113232748,1502345167660,0
your emotional stability,AW8113232748,1502345167765,26
your health,AW8113232748,1502345167826,30
your knowledge skills and access to information,AW8113232748,1502345167946,45
your mental health,AW8113232748,1502345168040,29
your physical fitness,AW8113232748,1502345168152,25
your physical safety and security,AW8113232748,1502345168261,38
your sense of connection with other people,AW8113232748,1502345168356,18
how happy you feel,AW31146417178,1502736285696,64
how much you like your home house or apartment,AW31146417178,1502736285781,53
how satisfied you are with your life,AW31146417178,1502736285877,61
the extent to which you feel the things you do in your life are worthwhile,AW31146417178,1502736285983,61
the quality of your sleep,AW31146417178,1502736286066,55
you being a good moral person and living according to your personal values,AW31146417178,1502736286163,67
you being able to spend enough time with the ones you love,AW31146417178,1502736286232,62
you being able to support your family financially,AW31146417178,1502736286327,52
you feeling that your work has value,AW31146417178,1502736286411,64
you not feeling anxious,AW31146417178,1502736286475,43
your emotional stability,AW31146417178,1502736286575,62
your health,AW31146417178,1502736286648,60
your knowledge skills and access to information,AW31146417178,1502736286764,69
your mental health,AW31146417178,1502736286871,60
your physical fitness,AW31146417178,1502736286946,55
your physical safety and security,AW31146417178,1502736287008,68
your sense of connection with other people,AW31146417178,1502736287121,50
how happy you feel,AW27326898509,1483194105856,55
how much you like your home house or apartment,AW27326898509,1483194105958,57
how satisfied you are with your life,AW27326898509,1483194106018,51
the extent to which you feel the things you do in your life are worthwhile,AW27326898509,1483194106128,52
the quality of your sleep,AW27326898509,1483194106242,58
you being a good moral person and living according to your personal values,AW27326898509,1483194106342,75
you being able to spend enough time with the ones you love,AW27326898509,1483194106440,60
you being able to support your family financially,AW27326898509,1483194106534,41
you feeling that your work has value,AW27326898509,1483194106643,53
you not feeling anxious,AW27326898509,1483194106759,52
your emotional stability,AW27326898509,1483194106830,62
your health,AW27326898509,1483194106906,56
your knowledge skills and access to information,AW27326898509,1483194106989,71
your mental health,AW27326898509,1483194107080,63
your physical fitness,AW27326898509,1483194107160,48
your physical safety and security,AW27326898509,1483194107221,57
your sense of connection with other people,AW27326898509,1483194107313,49
how happy you feel,AW57490415496,1495776886784,66
how much you like your home house or apartment,AW57490415496,1495776886849,71
how satisfied you are with your life,AW57490415496,1495776886969,67
the extent to which you feel the things you do in your life are worthwhile,AW57490415496,1495776887037,72
the quality of your sleep,AW57490415496,1495776887139,70
you being a good moral person and living according to your personal values,AW57490415496,1495776887245,78
you being able to spend enough time with the ones you love,AW57490415496,1495776887337,67
you being able to support your family financially,AW57490415496,1495776887400,60
you feeling that your work has value,AW57490415496,1495776887460,70
you not feeling anxious,AW57490415496,1495776887569,60
your emotional stability,AW57490415496,1495776887636,72
your health,AW57490415496,1495776887700,68
your knowledge skills and access to information,AW57490415496,1495776887766,74
your mental health,AW57490415496,1495776887861,73
your physical fitness,AW57490415496,1495776887973,57
your physical safety and security,AW57490415496,1495776888076,76
your sense of connection with other people,AW57490415496,1495776888184,63
how happy you feel,AW11293289743,1501532782592,68
how much you like your home house or apartment,AW11293289743,1501532782677,75
how satisfied you are with your life,AW11293289743,1501532782796,76
the extent to which you feel the things you do in your life are worthwhile,AW11293289743,1501532782870,75
the quality of your sleep,AW11293289743,1501532782956,66
you being a good moral person and living according to your personal values,AW11293289743,1501532783052,78
you being able to spend enough time with the ones you love,AW11293289743,1501532783140,72
you being able to support your family financially,AW11293289743,1501532783250,68
you feeling that your work has value,AW11293289743,1501532783363,62
you not feeling anxious,AW11293289743,1501532783444,51
your emotional stability,AW11293289743,1501532783555,68
your health,AW11293289743,1501532783626,70
your knowledge skills and access to information,AW11293289743,1501532783702,72
your mental health,AW11293289743,1501532783786,68
your physical fitness,AW11293289743,1501532783883,61
your physical safety and security,AW11293289743,1501532783965,80
your sense of connection with other people,AW11293289743,1501532784052,62
